file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,40,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,6
static\style.css,41,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,7
static\style.css,42,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,21
static\style.css,43,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,14
static\style.css,44,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,18
static\style.css,45,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,15
static\style.css,46,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,55
static\style.css,47,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,48,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,49,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,12
static\style.css,50,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,19
static\style.css,51,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,29
static\style.css,52,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,53,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,54,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,13
static\style.css,55,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,39
static\style.css,56,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,57,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,58,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,59,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,23
static\style.css,60,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,61,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,11
static\style.css,62,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,30
static\style.css,63,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,64,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,65,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,66,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,11
static\style.css,67,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,68,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,14
static\style.css,69,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,16
static\style.css,70,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,17
static\style.css,71,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,13
static\style.css,72,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,29
static\style.css,73,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,18
static\style.css,74,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,30
static\style.css,75,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,40
static\style.css,76,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,77,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,78,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,20
static\style.css,79,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,14
static\style.css,80,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,19
static\style.css,81,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,17
static\style.css,82,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,83,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,84,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,19
static\style.css,85,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,23
static\style.css,86,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,11
static\style.css,87,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,15
static\style.css,88,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,18
static\style.css,89,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,29
static\style.css,90,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,18
static\style.css,91,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,15
static\style.css,92,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,93,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,94,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,21
static\style.css,95,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,21
static\style.css,96,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,23
static\style.css,97,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,16
static\style.css,98,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,12
static\style.css,99,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,18
static\style.css,100,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,34
static\style.css,101,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,19
static\style.css,102,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,15
static\style.css,103,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,15
static\style.css,104,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,38
static\style.css,105,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,106,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,107,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,27
static\style.css,108,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,37
static\style.css,109,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,110,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,0
static\style.css,111,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,16
static\style.css,112,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,24
static\style.css,113,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,114,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,115,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,31
static\style.css,116,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,14
static\style.css,117,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,118,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,119,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,6
static\style.css,120,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,17
static\style.css,121,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,18
static\style.css,122,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,123,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,124,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,4
static\style.css,125,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,15
static\style.css,126,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,127,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,128,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,129,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,11
static\style.css,130,css,994033b3,Joao Felipe Vilas Boas,2025-03-27,12:44:20,-03:00,2025-03-27T12:44:20-03:00,0,31
static\style.css,131,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,10
static\style.css,132,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,13
static\style.css,133,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,59
static\style.css,134,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,9
static\style.css,135,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,136,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,0
static\style.css,137,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,18
static\style.css,138,css,78b2b401,Joao Felipe Vilas Boas,2025-03-20,12:34:04,-03:00,2025-03-20T12:34:04-03:00,0,13
